	faith_pd
1	41.83787108800001
10	64.108625211
119	37.33589504700001
120	59.526545606
123	86.54342279299999
124	51.096548297999995
129	153.733446343
132	62.545473903
134	104.459430898
135	89.17383698099998
136	116.67488983300001
137	89.41848049699999
138	85.65457227499999
139	69.77481943100001
140	41.471649326999994
141	90.14275976900001
142	103.774463044
143	89.291011574
144	114.775939985
145	51.30139021400001
172	74.79941174700001
173	117.47230798999998
174	77.36918358000001
175	105.237655915
176	95.111968712
177	102.194245008
178	98.728647133
179	104.19315846600001
180	101.39789269600001
181	121.903759462
2	65.542017194
203	122.748765187
204	164.283556912
205	111.53943576700001
207	72.23525127600001
208	71.432744207
209	47.704972928000004
256	55.61667584600001
257	75.23964884399999
258	63.196337677
259	85.174457852
260	62.200081751
261	37.435557901
262	50.451377852
263	82.871079681
264	90.718767009
265	51.134336924
266	81.946493206
267	58.520021727999996
268	54.063769268
269	60.01635138199999
270	48.201105383
271	65.853457453
272	69.979128718
275	45.26291084300001
276	58.861684563000004
277	134.20149115299998
278	36.784332482
285	83.004776876
287	79.15877349800002
288	97.489829977
289	47.275461674
290	57.4480612
291	40.644783151999995
294	36.669686308
295	67.211687674
296	82.20801837699999
297	78.19015550700001
298	31.687048748000002
299	67.05844523200001
3	47.97639532400001
300	37.758247665000006
301	60.834479955000006
302	64.849991579
303	53.00112215500001
306	53.437165992
307	45.262271206
308	55.62495740200001
31	90.412090706
313	17.731947597
314	41.998826646000005
319	35.374976530000005
32	101.13330490200003
320	105.46562875299999
325	83.92118673000002
326	86.993263584
327	53.528749354
328	70.72589924500001
33	79.48969530200002
34	127.27094410299998
35	109.947583209
36	145.74043941600002
364	42.07725890100001
365	50.640850427
367	42.249130316999995
368	51.31949344600001
369	47.377109788000006
37	120.101018298
370	33.408600378
371	29.393546475
372	54.01938166
373	75.384863936
374	55.065793326999994
376	48.91437509400001
378	11.861868498000003
398	71.061897899
399	65.078287669
4	58.779156312
40	105.44839200299998
400	55.869669748999996
401	69.081348227
403	96.09461001300001
404	57.98556079200001
405	95.11646262099998
407	75.261331815
420	83.26077702500001
421	57.581938822999994
424	123.72177560899999
425	61.446391233000014
427	108.718656468
429	50.868521581
430	83.784624735
432	63.157121919999994
433	65.34157793
434	97.66187629800001
435	134.096691432
472	31.892851714
473	34.037163385
474	54.260032089
476	123.44960876300003
477	46.401991087
478	81.44387273299999
480	52.71587421500001
481	63.755618034
482	156.103297483
5	59.234434859000004
572a	40.025702881
576a	58.487410971
576b	47.16884399800001
577a	43.889421974000015
578b	6.216287000000001
579b	21.657525073000006
582a	15.886226211
583b	32.20604733
584b	70.060940939
6	70.29698063500001
606a	17.389615940000002
608a	39.700337318
612b	11.698366254000002
613a	11.074999287
615b	20.226396249
616b	7.818600092000001
620a	13.763492461000002
622a	50.075200511999995
623a	24.224416488
624b	17.069131397000003
625b	11.859032748
7	201.95236269699998
8	81.619055374
9	235.41929916300006
neg	24.585598257999997
