"ID"	"type"	"date"	"location"	"group size"	"zswab"	"logZE"	"status"	"SVL"	"tail"	"temp"	"yr.temp"	"yr.ppt"	"cover"	"length"	"width"	"area"	"NumBL"	"N (lat)"	"W (long)"	"notes"
"MC175"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	19.92	1.3205616802	1	3.34	2.95	21.5	18.99	20.27	"log"	173	61	10553	13	36.58642	-121.89856	"juvenile"
"MC176"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0	0	0	6.27	4.8	21.5	18.99	20.27	"log"	173	61	10553	13	36.58642	-121.89856	"scar on back"
"MC177"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0.1232	0.0504570948	1	6.57	5.54	21.5	18.99	20.27	"log"	173	61	10553	13	36.58642	-121.89856	
"MC178"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	2.32	0.5211380837	1	7.82	3.35	21.5	18.99	20.27	"log"	173	61	10553	13	36.58642	-121.89856	"right front foot bitten off"
"MC183"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0	0	0	7.41	5.35	19.5	18.7	18.54	"rotten log"	82	28	2296	0	36.58631	-121.89506	"soil sample taken"
"MC184"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0	0	0	6.44	6.5	19.5	18.7	18.54	"rotten log"	82	28	2296	0	36.58631	-121.89506	
"MC185"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0	0	0	6.21	6.35	19.5	18.7	18.54	"rotten log"	82	28	2296	0	36.58631	-121.89506	
"MC186"	"A. lugubris"	"7/24/14"	"Don Dahvee Park, Monterey"	4	0	0	0	6.55	5.87	19.5	18.7	18.54	"rotten log"	82	28	2296	0	36.58631	-121.89506	
"MC189"	"A. lugburis"	"8/16/14"	"Veterans Memorial Park, Monterey"	3	2409.6	3.3821251522	1	6.16	5.74	19.1	19.09	20.33	"log"				0	36.60109	-121.90894	"On fallen pine log btwn trunk and bark. Moisture inside, white fungi."
"MC190"	"A. lugburis"	"8/16/14"	"Veterans Memorial Park, Monterey"	3	0	0	0	4.24	4.03	19.1	19.09	20.33	"log"				0	36.60109	-121.90894	"Juvenile. Found together with 1 other juvenile which escaped."
"MC201"	"A. lugubris"	"10/18/14"	"Don Dahvee Park, Monterey"	3	0	0	0	6.13	5.05	18.8	19.11	20.75	"log"	108	52	5616	11	36.58652	-121.89847	"50cm from MC200, 70cm from 202"
"MC204"	"A. lugubris"	"10/18/14"	"Don Dahvee Park, Monterey"	3	0	0	0	5.12	4.87	18.3	19.11	20.75	"log"	37	340	12580	5	36.58643	-121.89828	"50cm from 203"
"MC205"	"A. lugubris"	"10/18/14"	"Don Dahvee Park, Monterey"	3	0	0	0	3.98	4.11	20.6	19.11	20.75	"log"	96	35	3360	0	36.587	-121.89888	"May have very light spotting on belly? Juvenile. Not very active."
"MC209"	"A. lugubris"	"11/12/14"	"Don Dahvee Park, Monterey"	1	0	0	0	2.07	1.52	16.8	19.42	20.36	"log"	457	61	27877	11	36.58652	-121.89857	"Juvenile. Under oak bark."
"MC291"	"A. lugubris"	"12/13/14"	"Don Dahvee Park, Monterey"	1	0	0	0	6.81	"N/A"	14.3	19.48	24.6	"log"	140	23	3220	0	36.58816	-121.89817	"tail raw/bleeding with shed skin hanging off."
"MC298"	"A. lugubris"	"12/13/14"	"Don Dahvee Park, Monterey"	1	0	0	0	4.51	3.99	15.1	19.48	24.6	"wood piece"	60	18	1080	3	36.58788	-121.89836	"25' from 295"
"MC328"	"A. lugubris"	"1/17/15"	"Rip Van Winkle Open Space"	1	0	0	0	2.55	1.93	14.4	16.98	38.97	"log"	130	22	2860	5	36.60927	-121.93083	"juvenile"
"MC403"	"A. lugubris"	"2/7/15"	"Veterans Memorial Park, Monterey"	1	0	0	0	6.47	5.72	"n/a"	19.41	42.83	"tree "	"n/a"	"n/a"		0	36.60155	-121.90992	"climbing on tree trunk. 22:00h."
"MC454"	"A. lugubris"	"3/1/15"	"Veterans Memorial Park, Monterey"	1	0	0	0	2.65	2.1	11.5	19.75	38.46	"log"	180	13	2340	5	36.5975	-121.91113	"same log but on top under bark. l. blue"
"MC471"	"A. lugubris"	"3/1/15"	"Rip Van Winkle Open Space"	1	18.64	1.2931414835	1	5.94	5.25	13	17.23	34.44	"bark"	46	21	966	5	36.61102	-121.93072	
"MC478"	"A. lugubris"	"3/1/15"	"Rip Van Winkle Open Space"	1	0	0	0	4.94	4.88	13.8	17.23	34.44	"log"	120	9	1080	1	36.6109	-121.93098	
