CatalogNumber,date,svl,tail,notes,ZSWAB,logZE,BdStatus,InstitutionCode,YearCollected,decade,MonthCollected,DayCollected,County,Locality,Latitude,Longitude
33130,3/31/15,2.31,1.43,MC,0,0,0,MVZ,1940,1940,1,14,Contra Costa County,1 mi NW Alamo,37.8589086,-122.0465328
32711,7/7/15,2.12,1.73,MC,0,0,0,MVZ,1940,1940,1,20,Los Angeles County,Sycamore Grove,34.099856,-118.2024244
8936,5/29/15,7.35,7.27,,0,0,0,CAS,1940,1940,1,26,Contra Costa Co.,1.5 mi NW of Alamo,37.86979444,-122.0435194
32640,3/4/15,2.18,1.48,MC,0,0,0,MVZ,1940,1940,2,4,Napa County,Huichica Creek,38.2500657,-122.3616331
32641,3/4/15,2.7,2,,0,0,0,MVZ,1940,1940,2,4,Napa County,Huichica Creek,38.2500657,-122.3616331
32631,3/4/15,5.43,5.1,,0,0,0,MVZ,1940,1940,2,4,Napa County,Huichica Creek,38.2500657,-122.3616331
33240,7/7/15,6.12,5.78,MC,0,0,0,MVZ,1940,1940,3,3,Solano County,old quarry 4 mi NNE Fairfield,38.2924764,-122.0305657
32928,3/6/15,3,2.21,KC,0,0,0,MVZ,1940,1940,3,18,San Luis Obispo County,6 mi W Atascadero,35.442845,-120.751837
32929,3/5/15,3.04,2.49,KC,0,0,0,MVZ,1940,1940,3,18,San Luis Obispo County,6 mi W Atascadero,35.442845,-120.751837
33606,1/23/15,5.26,3.45,MC,0,0,0,MVZ,1940,1940,4,24,Monterey County,10 mi NNE Salinas,36.818515,-121.579502
34675,1/23/15,7.46,5.26,KC,0,0,0,MVZ,1940,1940,5,22,Monterey County,2 mi W Castroville,36.766562,-121.788268
79997,5/28/15,3.74,3.17,,0,0,0,CAS,1940,1940,11,7,Mendocino Co.,5 mi N of Laytonville,39.74776669,-123.5292167
79990,5/29/15,6.33,5.96,dirty/speckled,0,0,0,CAS,1940,1940,11,7,Mendocino Co.,7 mi SW of Willits,39.39343335,-123.4585333
80014,5/28/15,5.25,6.32,,0,0,0,CAS,1940,1940,11,9,Humboldt Co.,"vic N of Miranda, Kent Grove",40.29277778,-123.8963889
81733,5/29/15,3.54,3.25,,0,0,0,CAS,1940,1940,12,9,Mendocino Co.,"4 mi W of Yorkville, Mailliard Ranch",38.91291669,-123.3096
81724,5/29/15,3.57,3.09,,0,0,0,CAS,1940,1940,12,9,Mendocino Co.,"4 mi W of Yorkville, Mailliard Ranch",38.91291669,-123.3096
81730,5/29/15,5.33,4.68,,0,0,0,CAS,1940,1940,12,9,Mendocino Co.,"4 mi W of Yorkville, Mailliard Ranch",38.91291669,-123.3096
81739,5/29/15,5.42,4.73,,0,0,0,CAS,1940,1940,12,9,Mendocino Co.,"4 mi W of Yorkville, Mailliard Ranch",38.91291669,-123.3096
81702,5/29/15,6.17,6.07,,0,0,0,CAS,1940,1940,12,9,Mendocino Co.,5 mi SE of Usal,39.7802667,-123.83475
81695,5/27/15,3.95,3.36,,0,0,0,CAS,1940,1940,12,10,Mendocino Co.,7 mi S of Willits,39.32303333,-123.3015167
81876,5/27/15,5.39,5.11,,0,0,0,CAS,1940,1940,12,14,Humboldt Co.,Williams Grove,40.27722222,-123.8825
34539,3/11/15,5.2,3.89,ZS,0,0,0,MVZ,1941,1940,2,23,Alameda County,6.5 mi NE Livermore,37.78484,-121.58402
34536,3/11/15,7.12,5.74,ZS,0,0,0,MVZ,1941,1940,2,23,Alameda County,6.5 mi NE Livermore,37.78484,-121.58402
36954,7/7/15,4.72,4.28,MC,0,0,0,MVZ,1941,1940,2,28,Los Angeles County,1.5 mi NW Claremont,34.11722,-117.73245
35515,3/11/15,5.47,5.05,MC,0,0,0,MVZ,1941,1940,9,14,Santa Cruz County,Waddell Creek,37.1122928,-122.2702576
7348,5/28/15,2.21,1.54,,0,0,0,CAS,1941,1940,11,8,Lake Co.,0.5 mi NW of Lucerne,39.0959,-122.8011833
7341,5/28/15,2.26,1.71,,0,0,0,CAS,1941,1940,11,8,Lake Co.,0.5 mi NW of Lucerne,39.0959,-122.8011833
7350,5/28/15,2.45,1.74,,0,0,0,CAS,1941,1940,11,8,Lake Co.,0.5 mi NW of Lucerne,39.0959,-122.8011833
7343,5/28/15,2.54,1.71,,0,0,0,CAS,1941,1940,11,8,Lake Co.,0.5 mi NW of Lucerne,39.0959,-122.8011833
7347,5/28/15,2.65,1.95,,0,0,0,CAS,1941,1940,11,8,Lake Co.,0.5 mi NW of Lucerne,39.0959,-122.8011833
6538,5/29/15,3.78,3.01,,0,0,0,CAS,1941,1940,11,9,San Mateo Co.,,37.10861111,-122.3366667
6537,5/29/15,7.06,5.51,,0,0,0,CAS,1941,1940,11,9,San Mateo Co.,,37.10861111,-122.3366667
37133,7/7/15,7.95,7.79,"mc, skin damaged/blistered",0,0,0,MVZ,1942,1940,1,11,Ventura County,Ventura,34.2736421,-119.2664115
54491,3/18/15,4.97,4.43,ZS,0,0,0,MVZ,1943,1940,3,19,Alameda County,7 mi SE Livermore,37.6259,-121.6756
40860,7/7/15,4.84,5.21,MC,0,0,0,MVZ,1944,1940,4,5,Los Angeles County,"Fern Canyon, Sherman Oaks, Santa Monica Mts.",34.1713721,-117.9309613
40861,7/7/15,3.4,3.08,MC,0,0,0,MVZ,1944,1940,11,5,Los Angeles County,"Fern Canyon, Sherman Oaks, Santa Monica Mts.",34.1713721,-117.9309613
40862,7/7/15,1.76,1.44,MC,0,0,0,MVZ,1944,1940,12,2,Los Angeles County,"Fern Canyon, Sherman Oaks, Santa Monica Mts.",34.1713721,-117.9309613
8797,5/29/15,5.65,5.2,,0,0,0,CAS,1944,1940,12,10,Monterey Co.,Carmel,36.555,-121.9183333
8805,5/27/15,6.41,2.31,tail growing,0,0,0,CAS,1945,1940,1,21,Monterey Co.,"Carmel, 36 33 26 N, 121 55 10 W",36.55722222,-121.9194444
8806,5/27/15,6.86,6.86,,0,0,0,CAS,1945,1940,1,21,Monterey Co.,"Carmel, 36 33 26 N, 121 55 10 W",36.55722222,-121.9194444
8802,5/29/15,2.53,1.59,,0,0,0,CAS,1945,1940,2,4,Monterey Co.,"Carmel, 36 33 26 N, 121 55 10 W",36.55722222,-121.9194444
8803,5/29/15,4.37,3.09,,0,0,0,CAS,1945,1940,2,4,Monterey Co.,"Carmel, 36 33 26 N, 121 55 10 W",36.55722222,-121.9194444
8804,5/29/15,5.41,4.96,,0,0,0,CAS,1945,1940,2,4,Monterey Co.,"Carmel, 36 33 26 N, 121 55 10 W",36.55722222,-121.9194444
40863,7/7/15,1.94,1.33,MC,0,0,0,MVZ,1945,1940,2,17,Los Angeles County,"Fern Canyon, Sherman Oaks, Santa Monica Mts.",34.1713721,-117.9309613
8799,5/28/15,1.97,1.42,,0,0,0,CAS,1945,1940,3,4,Monterey Co.,"Carmel, 36 33 10 N, 121 55 10 W",36.55277778,-121.9194444
8798,5/28/15,5.38,5.37,,0,0,0,CAS,1945,1940,3,4,Monterey Co.,"Carmel, 36 33 10 N, 121 55 10 W",36.55277778,-121.9194444
8800,5/28/15,6.92,5.77,,0,0,0,CAS,1945,1940,3,4,Monterey Co.,"Carmel, 36 33 10 N, 121 55 10 W",36.55277778,-121.9194444
8801,5/28/15,7,6.72,,0,0,0,CAS,1945,1940,3,4,Monterey Co.,"Carmel, 36 33 10 N, 121 55 10 W",36.55277778,-121.9194444
41292,1/23/15,5.38,3.65,KC,0,0,0,MVZ,1945,1940,5,12,Monterey County,"1 mi S Monterey, S side Munras Ave.",36.5871,-121.89847
41291,2/9/15,5.54,4.92,SL,0,0,0,MVZ,1945,1940,5,12,Monterey County,near junction of Carmel Rd. and Munras Ave.,36.479691,-121.730287
41891,1/23/15,2.86,1.75,MC,0,0,0,MVZ,1945,1940,12,9,Monterey County,"10 mi NE Salinas, U.S. 101",36.820957,-121.629447
41893,1/23/15,3.03,2.86,KC,0,0,0,MVZ,1945,1940,12,9,Monterey County,"10 mi NE Salinas, U.S. 101",36.820957,-121.629447
41897,3/11/15,3.66,2.1,"ZS, tail growing",0,0,0,MVZ,1945,1940,12,9,San Benito County,1 mi S and 11 mi E Gonzales,36.5067652,-121.2431304
41895,3/9/15,3.77,2.61,SL,0,0,0,MVZ,1945,1940,12,9,San Benito County,1 mi S and 10 mi E Gonzales,36.505642,-121.2594778
41894,1/23/15,4.01,2.75,KC,0,0,0,MVZ,1945,1940,12,9,Monterey County,"10 mi NE Salinas, U.S. 101",36.820957,-121.629447
41898,3/9/15,4.13,3,SL,0,0,0,MVZ,1945,1940,12,9,San Benito County,1 mi S and 11 mi E Gonzales,36.5067652,-121.2431304
41892,1/23/15,5.6,4.21,KC,0,0,0,MVZ,1945,1940,12,9,Monterey County,"10 mi NE Salinas, U.S. 101",36.820957,-121.629447
41896,3/9/15,7.96,5.47,JE,0,0,0,MVZ,1945,1940,12,9,San Benito County,1 mi S and 10 mi E Gonzales,36.505642,-121.2594778
41901,3/9/15,2.69,1.81,SL,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41911,3/9/15,3.71,2.63,JE,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41903,3/11/15,3.88,3.2,ZS,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41905,3/11/15,4.24,3.21,ZS,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41906,3/9/15,4.24,3.15,SL,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41909,3/11/15,4.7,3.65,ZS,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41913,3/9/15,5.87,4.87,SL,0,0,0,MVZ,1946,1940,1,1,San Benito County,3.3 mi SE Hwy. 156 on Fremont Peak Rd.,36.8050374,-121.502985
41910,3/9/15,6.04,5.36,SL,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41900,3/11/15,6.19,5.47,ZS,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41899,3/9/15,6.33,6.21,JE,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41908,3/9/15,6.42,6.09,JE,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
41904,3/11/15,7.01,6.04,ZS,0,0,0,MVZ,1946,1940,1,1,San Benito County,2-5 mi W Hwy. 25 on road to Gonzales,36.5615149,-121.2341134
42207,2/20/15,4.25,3.59,KC,0,0,0,MVZ,1946,1940,2,10,Mendocino County,"8.9 mi S Piercy, U.S. Hwy. 101, near Lane's Redwood Flat",39.8919894,-123.7498065
42238,2/20/15,4.31,2.9,KC,0,0,0,MVZ,1946,1940,2,10,Mendocino County,24.5 mi S Lane's Redwood Flat,39.54155,-123.75109
42237,2/20/15,5.78,1.92,KC tail stump,0,0,0,MVZ,1946,1940,2,10,Mendocino County,24.5 mi S Lane's Redwood Flat,39.54155,-123.75109
42235,2/20/15,6.95,5.6,KC,0,0,0,MVZ,1946,1940,2,10,Mendocino County,24.5 mi S Lane's Redwood Flat,39.54155,-123.75109
42234,2/20/15,8.79,5.8,KC,0,0,0,MVZ,1946,1940,2,10,Mendocino County,24.5 mi S Lane's Redwood Flat,39.54155,-123.75109
42416,3/11/15,3.02,2.05,"ZS, subs for 42417",0,0,0,,1946,1940,4,25,Alameda Co.,,37.8714801,-122.2615466
42847,3/9/15,5.92,4.75,JE,0,0,0,MVZ,1946,1940,6,27,San Benito County,Pinnacles National Monument,36.5333449,-121.145152
43163,3/11/15,1.93,1.25,ZS,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43164,3/11/15,2,0.9,ZS,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43165,3/9/15,2.02,1.42,JE,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43162,3/9/15,2.27,1.43,SL,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43161,3/9/15,4.32,2.34,SL,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43158,3/9/15,4.86,4.15,JE,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43157,3/9/15,4.9,2.39,SL ,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43160,3/11/15,4.9,3.4,ZS,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43159,3/9/15,5.12,4.52,JE,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43153,3/9/15,5.31,4.69,JE,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43152,3/9/15,6.8,6.17,JE,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43155,3/9/15,6.98,6.08,SL,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43156,3/11/15,7.56,6.34,ZS,0,0,0,MVZ,1946,1940,10,5,San Benito County,"Pinnacles National Monument, NW High Peaks",36.5333449,-121.145152
43811,3/31/15,6.66,5.89,MC,0,0,0,MVZ,1946,1940,10,20,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43809,3/31/15,,,"MC, not measured",0,0,0,MVZ,1946,1940,10,20,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43952,3/31/15,2,1.59,MC,0,0,0,MVZ,1946,1940,11,16,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43942,3/31/15,6.68,6.57,MC,0,0,0,MVZ,1946,1940,11,16,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43940,3/31/15,6.83,6.19,MC,0,0,0,MVZ,1946,1940,11,16,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43937,3/31/15,7.08,6.71,MC,0,0,0,MVZ,1946,1940,11,16,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43751,2/20/15,7.75,5.35,KC,0,0,0,MVZ,1946,1940,11,24,Mendocino County,4.3 mi SE Navarro on Hwy. 128,39.0985042,-123.4770896
43752,2/20/15,7.98,6.38,KC scar on head,0,0,0,MVZ,1946,1940,11,24,Mendocino County,2.5 mi E Booneville,39.0153329,-123.3258987
43988,3/31/15,2.05,1.62,MC,0,0,0,MVZ,1946,1940,12,1,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
44007,3/31/15,2.07,1.45,MC,0,0,0,MVZ,1946,1940,12,1,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43997,3/31/15,2.2,1.64,MC,0,0,0,MVZ,1946,1940,12,1,Lake County,0.25 mi NW Lucerne,39.1012237,-122.8057449
43992,3/31/15,2.98,1.39,"mC, subs for 43991",0,0,0,,1946,1940,12,1,Lake Co.,,39.1012237,-122.8057449
44051,3/11/15,4.97,4.81,MC,0,0,0,MVZ,1947,1940,1,7,Santa Barbara County,8.5 mi SE Lompoc,34.5471888,-120.3414136
44050,3/11/15,5.54,5.26,MC,0,0,0,MVZ,1947,1940,1,7,Santa Barbara County,8.5 mi SE Lompoc,34.5471888,-120.3414136
44048,3/11/15,6.65,6.51,MC,0,0,0,MVZ,1947,1940,1,7,Santa Barbara County,8.5 mi SE Lompoc,34.5471888,-120.3414136
44054,3/6/15,4.37,2.78,KC,0,0,0,MVZ,1947,1940,1,8,San Luis Obispo County,3.5 mi W Atascadero,35.458819,-120.723723
44053,3/6/15,5.86,4.35,KC,0,0,0,MVZ,1947,1940,1,8,San Luis Obispo County,3.5 mi W Atascadero,35.458819,-120.723723
44052,3/6/15,6.38,4.37,KC,0,0,0,MVZ,1947,1940,1,8,San Luis Obispo County,3.5 mi W Atascadero,35.458819,-120.723723
44678,3/4/15,6.4,5.64,MC,0,0,0,MVZ,1947,1940,6,8,San Mateo County,"507 Cornell Ave., San Mateo",37.556719,-122.33346
44636,3/4/15,3.33,0.19,MC tail broken,0,0,0,MVZ,1947,1940,7,16,San Mateo County,"507 Cornell Ave., San Mateo",37.556719,-122.33346
201175,3/31/15,5.08,5.17,"MC, subs for 189252",0,0,0,,1947,1940,10,9,Contra Costa Co.,,37.8049862,-122.1607629
