"ID"	"type"	"date"	"location"	"loc "	"code"	"group size"	"num.inf"	"prop.inf"	"zswab"	"status"	"logZE"	"sd"	"SVL"	"tail"	"body.con"	"temp"	"yr.tmax"	"yr.ppt"	"rain"	"NearestAL"	"AL"	"NumAL"	"cover"	"length"	"width"	"area"	"density"	"N (lat)"	"W (long)"	"Notes"			
"MC64"	"B. luciae"	"5/9/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		2.22	2.85	1.2837837838	16.9	18.84	20.04	0.44	"NA"	"N"	0	"log"	108	23	2484	0.0004	36.58675	-121.89881				
"MC65"	"B. luciae"	"5/9/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.3	4.9	1.4848484848	19.5	18.84	20.04	0.44	"NA"	"N"	0	"log"	200	23	4600	0.0002	36.58675	-121.89881				
"MC79"	"B. luciae"	"5/9/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		2.68	4	1.4925373134	19.8	18.84	20.04	0.44	"NA"	"N"	0	"log"	260	10	2600	0.0004	36.58679	-121.89892				
"MC85"	"B. luciae"	"5/10/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.83	4.38	1.1436031332	15.1	18.84	20.04	0.44	"NA"	"N"	0	"wood piece"	43	16	688	0.0015	36.58694	-121.89855		"0303-0304"		
"MC90"	"B. luciae"	"5/10/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.52	3.75	1.0653409091	16.4	18.84	20.04	0.44	"NA"	"N"	0	"log"	178	10	1780	0.0006	36.58689	-121.89864	"yellow"	"0315 (log)"		
"MC91"	"B. luciae"	"5/10/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		4.09	5.71	1.3960880196	17.1	18.84	20.04	0.44	"NA"	"N"	0	"wood piece"	74	22	1628	0.0006	36.58684	-121.89864	"very large"			
"MC95"	"B. luciae"	"5/10/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.17	3.19	1.0063091483	16.9	18.84	20.04	0.44	"NA"	"N"	0	"branch"	77	7	539	0.0019	36.58771	-121.89775		331		
"MC106"	"B. luciae"	"6/7/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.44	4.44	1.2906976744	16.3	19.01	20.23	0.1	"NA"	"N"	0	"rotting wood"	"n/a"				36.58765	-121.89785	"inside wood. 2m from 103/104/105"			
"MC107"	"B. luciae"	"6/7/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.94	5.05	1.2817258883	17	19.01	20.23	0.1	"NA"	"N"	0	"rotting wood"	"n/a"				36.58764	-121.8978				
"MC108"	"B. luciae"	"6/7/14"	"Don Dahvee Park, Monterey"	"DD"	1	1	0	0	0	0	0		3.79	5.4	1.4248021108	16.9	19.01	20.23	0.1	"NA"	"N"	0	"rotting wood"	"n/a"				36.58763	-121.8977				
