catalognumber,swabdate,svl,tail,notes,zswab,logZE,BdStatus,status,date,decade,year,month,day,locality,latitude,longitude
155436,5/1/15,3.49,6.28,DA,387.2,2.589055531,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
222780,4/24/15,3.37,4.68,DA,357.6,2.554610285,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
155438,3/4/15,3.35,4.47,KC,208.8,2.321805484,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
224770,4/10/15,2.95,1.41,JE,198.4,2.299725154,1.000000000,1,11/13/93,1990,1993,11,13,"Carmel Valley Rd. [=County Rd. G-16], 1.3 mi SE (by road) junction Laureles Grade Rd.",36.487497,-121.738844
155435,4/27/15,3.19,4.46,MC,183.2,2.265289626,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155429,5/1/15,3.03,4.81,JE,133.6,2.12904506,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155433,3/4/15,3.53,3.83,KC,128.8,2.113274692,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155440,4/27/15,2.65,3.08,MC,100.8,2.007747778,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
222773,4/10/15,3.26,3.03,DA,95.2,1.983175072,1.000000000,1,3/28/95,1990,1995,3,28,"across from 24520 Outlook Drive, near High Meadow, beyond NE corner Carmel city limits",36.565222,-121.90559
155439,3/4/15,3.11,3.82,KC,92.8,1.972202838,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
155432,5/2/15,3.58,5.11,MC,79.04,1.90330708,1.000000000,1,3/21/74,1970,1974,3,21,"Willow Creek, between junction of Marble Peak-Hot Springs trail and junction of Willow Creek and Tassajara Creek",36.214889,-121.528667
