ID,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1,-121.8986,36.5864,456,2014-01,0.08,46.2,56.8,67.5
1,-121.8986,36.5864,456,2014-02,3.86,46,53.2,60.3
1,-121.8986,36.5864,456,2014-03,2.59,47.8,56.4,65
1,-121.8986,36.5864,456,2014-04,1.6,47.1,55.5,64
1,-121.8986,36.5864,456,2014-05,0.14,50.8,59.7,68.7
1,-121.8986,36.5864,456,2014-06,0.02,50.2,58.1,66.1
1,-121.8986,36.5864,456,2014-07,0.05,54.6,61.8,68.9
1,-121.8986,36.5864,456,2014-08,0,55.6,62.3,69
1,-121.8986,36.5864,456,2014-09,0.27,55.3,63.3,71.4
1,-121.8986,36.5864,456,2014-10,0.22,53.2,63.4,73.6
1,-121.8986,36.5864,456,2014-11,2.46,49.2,58.4,67.7
1,-121.8986,36.5864,456,2014-12,9.04,48.6,55.6,62.6
1,-121.8986,36.5864,456,2015-01,0,46.1,56,66
1,-121.8986,36.5864,456,2015-02,1.37,48.7,58.2,67.7
1,-121.8986,36.5864,456,2015-03,0.68,47.8,58.4,69
1,-121.8986,36.5864,456,2015-04,1.05,46.2,54.6,63.1
1,-121.8986,36.5864,456,2015-05,0.4,49.3,55.1,61
1,-121.8986,36.5864,456,2015-06,0,51.2,58.6,66
1,-121.8986,36.5864,456,2015-07,0.12,55.4,62.9,70.5
1,-121.8986,36.5864,456,2015-08,0.02,56.1,64.5,73
1,-121.8986,36.5864,456,2015-09,0,55.7,65.8,75.9
1,-121.8986,36.5864,456,2015-10,0.29,54.4,64.3,74.1
1,-121.8986,36.5864,456,2015-11,3.13,44.8,54.6,64.3
1,-121.8986,36.5864,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
2,-121.8986,36.5864,456,2014-01,0.08,46.2,56.8,67.5
2,-121.8986,36.5864,456,2014-02,3.86,46,53.2,60.3
2,-121.8986,36.5864,456,2014-03,2.59,47.8,56.4,65
2,-121.8986,36.5864,456,2014-04,1.6,47.1,55.5,64
2,-121.8986,36.5864,456,2014-05,0.14,50.8,59.7,68.7
2,-121.8986,36.5864,456,2014-06,0.02,50.2,58.1,66.1
2,-121.8986,36.5864,456,2014-07,0.05,54.6,61.8,68.9
2,-121.8986,36.5864,456,2014-08,0,55.6,62.3,69
2,-121.8986,36.5864,456,2014-09,0.27,55.3,63.3,71.4
2,-121.8986,36.5864,456,2014-10,0.22,53.2,63.4,73.6
2,-121.8986,36.5864,456,2014-11,2.46,49.2,58.4,67.7
2,-121.8986,36.5864,456,2014-12,9.04,48.6,55.6,62.6
2,-121.8986,36.5864,456,2015-01,0,46.1,56,66
2,-121.8986,36.5864,456,2015-02,1.37,48.7,58.2,67.7
2,-121.8986,36.5864,456,2015-03,0.68,47.8,58.4,69
2,-121.8986,36.5864,456,2015-04,1.05,46.2,54.6,63.1
2,-121.8986,36.5864,456,2015-05,0.4,49.3,55.1,61
2,-121.8986,36.5864,456,2015-06,0,51.2,58.6,66
2,-121.8986,36.5864,456,2015-07,0.12,55.4,62.9,70.5
2,-121.8986,36.5864,456,2015-08,0.02,56.1,64.5,73
2,-121.8986,36.5864,456,2015-09,0,55.7,65.8,75.9
2,-121.8986,36.5864,456,2015-10,0.29,54.4,64.3,74.1
2,-121.8986,36.5864,456,2015-11,3.13,44.8,54.6,64.3
2,-121.8986,36.5864,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
3,-121.8986,36.5864,456,2014-01,0.08,46.2,56.8,67.5
3,-121.8986,36.5864,456,2014-02,3.86,46,53.2,60.3
3,-121.8986,36.5864,456,2014-03,2.59,47.8,56.4,65
3,-121.8986,36.5864,456,2014-04,1.6,47.1,55.5,64
3,-121.8986,36.5864,456,2014-05,0.14,50.8,59.7,68.7
3,-121.8986,36.5864,456,2014-06,0.02,50.2,58.1,66.1
3,-121.8986,36.5864,456,2014-07,0.05,54.6,61.8,68.9
3,-121.8986,36.5864,456,2014-08,0,55.6,62.3,69
3,-121.8986,36.5864,456,2014-09,0.27,55.3,63.3,71.4
3,-121.8986,36.5864,456,2014-10,0.22,53.2,63.4,73.6
3,-121.8986,36.5864,456,2014-11,2.46,49.2,58.4,67.7
3,-121.8986,36.5864,456,2014-12,9.04,48.6,55.6,62.6
3,-121.8986,36.5864,456,2015-01,0,46.1,56,66
3,-121.8986,36.5864,456,2015-02,1.37,48.7,58.2,67.7
3,-121.8986,36.5864,456,2015-03,0.68,47.8,58.4,69
3,-121.8986,36.5864,456,2015-04,1.05,46.2,54.6,63.1
3,-121.8986,36.5864,456,2015-05,0.4,49.3,55.1,61
3,-121.8986,36.5864,456,2015-06,0,51.2,58.6,66
3,-121.8986,36.5864,456,2015-07,0.12,55.4,62.9,70.5
3,-121.8986,36.5864,456,2015-08,0.02,56.1,64.5,73
3,-121.8986,36.5864,456,2015-09,0,55.7,65.8,75.9
3,-121.8986,36.5864,456,2015-10,0.29,54.4,64.3,74.1
3,-121.8986,36.5864,456,2015-11,3.13,44.8,54.6,64.3
3,-121.8986,36.5864,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
4,-121.8986,36.5864,456,2014-01,0.08,46.2,56.8,67.5
4,-121.8986,36.5864,456,2014-02,3.86,46,53.2,60.3
4,-121.8986,36.5864,456,2014-03,2.59,47.8,56.4,65
4,-121.8986,36.5864,456,2014-04,1.6,47.1,55.5,64
4,-121.8986,36.5864,456,2014-05,0.14,50.8,59.7,68.7
4,-121.8986,36.5864,456,2014-06,0.02,50.2,58.1,66.1
4,-121.8986,36.5864,456,2014-07,0.05,54.6,61.8,68.9
4,-121.8986,36.5864,456,2014-08,0,55.6,62.3,69
4,-121.8986,36.5864,456,2014-09,0.27,55.3,63.3,71.4
4,-121.8986,36.5864,456,2014-10,0.22,53.2,63.4,73.6
4,-121.8986,36.5864,456,2014-11,2.46,49.2,58.4,67.7
4,-121.8986,36.5864,456,2014-12,9.04,48.6,55.6,62.6
4,-121.8986,36.5864,456,2015-01,0,46.1,56,66
4,-121.8986,36.5864,456,2015-02,1.37,48.7,58.2,67.7
4,-121.8986,36.5864,456,2015-03,0.68,47.8,58.4,69
4,-121.8986,36.5864,456,2015-04,1.05,46.2,54.6,63.1
4,-121.8986,36.5864,456,2015-05,0.4,49.3,55.1,61
4,-121.8986,36.5864,456,2015-06,0,51.2,58.6,66
4,-121.8986,36.5864,456,2015-07,0.12,55.4,62.9,70.5
4,-121.8986,36.5864,456,2015-08,0.02,56.1,64.5,73
4,-121.8986,36.5864,456,2015-09,0,55.7,65.8,75.9
4,-121.8986,36.5864,456,2015-10,0.29,54.4,64.3,74.1
4,-121.8986,36.5864,456,2015-11,3.13,44.8,54.6,64.3
4,-121.8986,36.5864,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
5,-121.8951,36.5863,217,2014-01,0.09,45.2,56,66.8
5,-121.8951,36.5863,217,2014-02,3.25,46.1,53.1,60.1
5,-121.8951,36.5863,217,2014-03,2.58,48.2,56.3,64.3
5,-121.8951,36.5863,217,2014-04,1.48,48.3,55.8,63.3
5,-121.8951,36.5863,217,2014-05,0.12,51.9,60.4,69
5,-121.8951,36.5863,217,2014-06,0,52.1,59.6,67.1
5,-121.8951,36.5863,217,2014-07,0.01,56.1,62.8,69.5
5,-121.8951,36.5863,217,2014-08,0.01,56.8,63,69.3
5,-121.8951,36.5863,217,2014-09,0.26,57,63.6,70.1
5,-121.8951,36.5863,217,2014-10,0.21,53.6,63.1,72.6
5,-121.8951,36.5863,217,2014-11,2.35,49.4,57.4,65.5
5,-121.8951,36.5863,217,2014-12,8.49,49,55.5,62.1
5,-121.8951,36.5863,217,2015-01,0,45.1,55.2,65.2
5,-121.8951,36.5863,217,2015-02,1.07,48.1,57.4,66.7
5,-121.8951,36.5863,217,2015-03,0.67,47.7,57.4,67.2
5,-121.8951,36.5863,217,2015-04,0.92,46.8,54.6,62.3
5,-121.8951,36.5863,217,2015-05,0.32,50.9,56.4,62
5,-121.8951,36.5863,217,2015-06,0,52.2,59.5,66.8
5,-121.8951,36.5863,217,2015-07,0.14,56.5,63.6,70.7
5,-121.8951,36.5863,217,2015-08,0.04,57.1,64.8,72.4
5,-121.8951,36.5863,217,2015-09,0,56.2,64.9,73.7
5,-121.8951,36.5863,217,2015-10,0.25,54.6,63.5,72.5
5,-121.8951,36.5863,217,2015-11,3.14,44.4,53.6,62.7
5,-121.8951,36.5863,217,2015-12,3.61,42.1,50,58
,,,,,,,,
6,-121.8951,36.5863,217,2014-01,0.09,45.2,56,66.8
6,-121.8951,36.5863,217,2014-02,3.25,46.1,53.1,60.1
6,-121.8951,36.5863,217,2014-03,2.58,48.2,56.3,64.3
6,-121.8951,36.5863,217,2014-04,1.48,48.3,55.8,63.3
6,-121.8951,36.5863,217,2014-05,0.12,51.9,60.4,69
6,-121.8951,36.5863,217,2014-06,0,52.1,59.6,67.1
6,-121.8951,36.5863,217,2014-07,0.01,56.1,62.8,69.5
6,-121.8951,36.5863,217,2014-08,0.01,56.8,63,69.3
6,-121.8951,36.5863,217,2014-09,0.26,57,63.6,70.1
6,-121.8951,36.5863,217,2014-10,0.21,53.6,63.1,72.6
6,-121.8951,36.5863,217,2014-11,2.35,49.4,57.4,65.5
6,-121.8951,36.5863,217,2014-12,8.49,49,55.5,62.1
6,-121.8951,36.5863,217,2015-01,0,45.1,55.2,65.2
6,-121.8951,36.5863,217,2015-02,1.07,48.1,57.4,66.7
6,-121.8951,36.5863,217,2015-03,0.67,47.7,57.4,67.2
6,-121.8951,36.5863,217,2015-04,0.92,46.8,54.6,62.3
6,-121.8951,36.5863,217,2015-05,0.32,50.9,56.4,62
6,-121.8951,36.5863,217,2015-06,0,52.2,59.5,66.8
6,-121.8951,36.5863,217,2015-07,0.14,56.5,63.6,70.7
6,-121.8951,36.5863,217,2015-08,0.04,57.1,64.8,72.4
6,-121.8951,36.5863,217,2015-09,0,56.2,64.9,73.7
6,-121.8951,36.5863,217,2015-10,0.25,54.6,63.5,72.5
6,-121.8951,36.5863,217,2015-11,3.14,44.4,53.6,62.7
6,-121.8951,36.5863,217,2015-12,3.61,42.1,50,58
,,,,,,,,
7,-121.8951,36.5863,217,2014-01,0.09,45.2,56,66.8
7,-121.8951,36.5863,217,2014-02,3.25,46.1,53.1,60.1
7,-121.8951,36.5863,217,2014-03,2.58,48.2,56.3,64.3
7,-121.8951,36.5863,217,2014-04,1.48,48.3,55.8,63.3
7,-121.8951,36.5863,217,2014-05,0.12,51.9,60.4,69
7,-121.8951,36.5863,217,2014-06,0,52.1,59.6,67.1
7,-121.8951,36.5863,217,2014-07,0.01,56.1,62.8,69.5
7,-121.8951,36.5863,217,2014-08,0.01,56.8,63,69.3
7,-121.8951,36.5863,217,2014-09,0.26,57,63.6,70.1
7,-121.8951,36.5863,217,2014-10,0.21,53.6,63.1,72.6
7,-121.8951,36.5863,217,2014-11,2.35,49.4,57.4,65.5
7,-121.8951,36.5863,217,2014-12,8.49,49,55.5,62.1
7,-121.8951,36.5863,217,2015-01,0,45.1,55.2,65.2
7,-121.8951,36.5863,217,2015-02,1.07,48.1,57.4,66.7
7,-121.8951,36.5863,217,2015-03,0.67,47.7,57.4,67.2
7,-121.8951,36.5863,217,2015-04,0.92,46.8,54.6,62.3
7,-121.8951,36.5863,217,2015-05,0.32,50.9,56.4,62
7,-121.8951,36.5863,217,2015-06,0,52.2,59.5,66.8
7,-121.8951,36.5863,217,2015-07,0.14,56.5,63.6,70.7
7,-121.8951,36.5863,217,2015-08,0.04,57.1,64.8,72.4
7,-121.8951,36.5863,217,2015-09,0,56.2,64.9,73.7
7,-121.8951,36.5863,217,2015-10,0.25,54.6,63.5,72.5
7,-121.8951,36.5863,217,2015-11,3.14,44.4,53.6,62.7
7,-121.8951,36.5863,217,2015-12,3.61,42.1,50,58
,,,,,,,,
8,-121.8951,36.5863,217,2014-01,0.09,45.2,56,66.8
8,-121.8951,36.5863,217,2014-02,3.25,46.1,53.1,60.1
8,-121.8951,36.5863,217,2014-03,2.58,48.2,56.3,64.3
8,-121.8951,36.5863,217,2014-04,1.48,48.3,55.8,63.3
8,-121.8951,36.5863,217,2014-05,0.12,51.9,60.4,69
8,-121.8951,36.5863,217,2014-06,0,52.1,59.6,67.1
8,-121.8951,36.5863,217,2014-07,0.01,56.1,62.8,69.5
8,-121.8951,36.5863,217,2014-08,0.01,56.8,63,69.3
8,-121.8951,36.5863,217,2014-09,0.26,57,63.6,70.1
8,-121.8951,36.5863,217,2014-10,0.21,53.6,63.1,72.6
8,-121.8951,36.5863,217,2014-11,2.35,49.4,57.4,65.5
8,-121.8951,36.5863,217,2014-12,8.49,49,55.5,62.1
8,-121.8951,36.5863,217,2015-01,0,45.1,55.2,65.2
8,-121.8951,36.5863,217,2015-02,1.07,48.1,57.4,66.7
8,-121.8951,36.5863,217,2015-03,0.67,47.7,57.4,67.2
8,-121.8951,36.5863,217,2015-04,0.92,46.8,54.6,62.3
8,-121.8951,36.5863,217,2015-05,0.32,50.9,56.4,62
8,-121.8951,36.5863,217,2015-06,0,52.2,59.5,66.8
8,-121.8951,36.5863,217,2015-07,0.14,56.5,63.6,70.7
8,-121.8951,36.5863,217,2015-08,0.04,57.1,64.8,72.4
8,-121.8951,36.5863,217,2015-09,0,56.2,64.9,73.7
8,-121.8951,36.5863,217,2015-10,0.25,54.6,63.5,72.5
8,-121.8951,36.5863,217,2015-11,3.14,44.4,53.6,62.7
8,-121.8951,36.5863,217,2015-12,3.61,42.1,50,58
,,,,,,,,
9,-121.9089,36.6011,456,2014-01,0.08,46.2,56.8,67.5
9,-121.9089,36.6011,456,2014-02,3.86,46,53.2,60.3
9,-121.9089,36.6011,456,2014-03,2.59,47.8,56.4,65
9,-121.9089,36.6011,456,2014-04,1.6,47.1,55.5,64
9,-121.9089,36.6011,456,2014-05,0.14,50.8,59.7,68.7
9,-121.9089,36.6011,456,2014-06,0.02,50.2,58.1,66.1
9,-121.9089,36.6011,456,2014-07,0.05,54.6,61.8,68.9
9,-121.9089,36.6011,456,2014-08,0,55.6,62.3,69
9,-121.9089,36.6011,456,2014-09,0.27,55.3,63.3,71.4
9,-121.9089,36.6011,456,2014-10,0.22,53.2,63.4,73.6
9,-121.9089,36.6011,456,2014-11,2.46,49.2,58.4,67.7
9,-121.9089,36.6011,456,2014-12,9.04,48.6,55.6,62.6
9,-121.9089,36.6011,456,2015-01,0,46.1,56,66
9,-121.9089,36.6011,456,2015-02,1.37,48.7,58.2,67.7
9,-121.9089,36.6011,456,2015-03,0.68,47.8,58.4,69
9,-121.9089,36.6011,456,2015-04,1.05,46.2,54.6,63.1
9,-121.9089,36.6011,456,2015-05,0.4,49.3,55.1,61
9,-121.9089,36.6011,456,2015-06,0,51.2,58.6,66
9,-121.9089,36.6011,456,2015-07,0.12,55.4,62.9,70.5
9,-121.9089,36.6011,456,2015-08,0.02,56.1,64.5,73
9,-121.9089,36.6011,456,2015-09,0,55.7,65.8,75.9
9,-121.9089,36.6011,456,2015-10,0.29,54.4,64.3,74.1
9,-121.9089,36.6011,456,2015-11,3.13,44.8,54.6,64.3
9,-121.9089,36.6011,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
10,-121.9089,36.6011,456,2014-01,0.08,46.2,56.8,67.5
10,-121.9089,36.6011,456,2014-02,3.86,46,53.2,60.3
10,-121.9089,36.6011,456,2014-03,2.59,47.8,56.4,65
10,-121.9089,36.6011,456,2014-04,1.6,47.1,55.5,64
10,-121.9089,36.6011,456,2014-05,0.14,50.8,59.7,68.7
10,-121.9089,36.6011,456,2014-06,0.02,50.2,58.1,66.1
10,-121.9089,36.6011,456,2014-07,0.05,54.6,61.8,68.9
10,-121.9089,36.6011,456,2014-08,0,55.6,62.3,69
10,-121.9089,36.6011,456,2014-09,0.27,55.3,63.3,71.4
10,-121.9089,36.6011,456,2014-10,0.22,53.2,63.4,73.6
10,-121.9089,36.6011,456,2014-11,2.46,49.2,58.4,67.7
10,-121.9089,36.6011,456,2014-12,9.04,48.6,55.6,62.6
10,-121.9089,36.6011,456,2015-01,0,46.1,56,66
10,-121.9089,36.6011,456,2015-02,1.37,48.7,58.2,67.7
10,-121.9089,36.6011,456,2015-03,0.68,47.8,58.4,69
10,-121.9089,36.6011,456,2015-04,1.05,46.2,54.6,63.1
10,-121.9089,36.6011,456,2015-05,0.4,49.3,55.1,61
10,-121.9089,36.6011,456,2015-06,0,51.2,58.6,66
10,-121.9089,36.6011,456,2015-07,0.12,55.4,62.9,70.5
10,-121.9089,36.6011,456,2015-08,0.02,56.1,64.5,73
10,-121.9089,36.6011,456,2015-09,0,55.7,65.8,75.9
10,-121.9089,36.6011,456,2015-10,0.29,54.4,64.3,74.1
10,-121.9089,36.6011,456,2015-11,3.13,44.8,54.6,64.3
10,-121.9089,36.6011,456,2015-12,3.74,42.5,50.3,58.1
,,,,,,,,
11,-121.8985,36.5865,456,2014-01,0.08,46.2,56.8,67.5
11,-121.8985,36.5865,456,2014-02,3.86,46,53.2,60.3
11,-121.8985,36.5865,456,2014-03,2.59,47.8,56.4,65
11,-121.8985,36.5865,456,2014-04,1.6,47.1,55.5,64
