"","Species","Year","Zscore","BdStatus","SVL","Cover","Latitude","Longitude"
"1","AL","2014-07-24",1.32,1,3.34,"log",36.58642,-121.89856
"2","AL","2014-07-24",0,0,6.27,"log",36.58642,-121.89856
"3","AL","2014-07-24",0.0505,1,6.57,"log",36.58642,-121.89856
"4","AL","2014-07-24",0.52,1,7.82,"log",36.58642,-121.89856
"5","AL","2014-07-24",0,0,7.41,"rotten log",36.58631,-121.89506
"6","AL","2014-07-24",0,0,6.44,"rotten log",36.58631,-121.89506
"7","AL","2014-07-24",0,0,6.21,"rotten log",36.58631,-121.89506
"8","AL","2014-07-24",0,0,6.55,"rotten log",36.58631,-121.89506
"9","AL","2014-08-16",3.4,1,6.16,"log",36.60109,-121.90894
"10","AL","2014-08-16",0,0,4.24,"log",36.60109,-121.90894
"11","AL","2014-10-18",0,0,6.13,"log",36.58652,-121.89847
"12","AL","2014-10-18",0,0,5.12,"log",36.58643,-121.89828
"13","AL","2014-10-18",0,0,3.98,"log",36.587,-121.89888
"14","AL","2014-11-12",0,0,2.07,"log",36.58652,-121.89857
"15","AL","2014-12-13",0,0,6.81,"log",36.58816,-121.89817
"16","AL","2014-12-13",0,0,4.51,"wood piece",36.58788,-121.89836
"17","AL","2015-01-17",0,0,2.55,"log",36.60927,-121.93083
"18","AL","2015-02-07",0,0,6.47,"tree ",36.60155,-121.90992
"19","AL","2015-03-01",0,0,2.65,"log",36.5975,-121.91113
"20","AL","2015-03-01",1.29,1,5.94,"bark",36.61102,-121.93072
"21","AL","2015-03-01",0,0,4.94,"log",36.6109,-121.93098
"22","BL","2014-05-09",0,0,2.22,"log",36.58675,-121.89881
"23","BL","2014-05-09",0,0,3.3,"log",36.58675,-121.89881
"24","BL","2014-05-09",0,0,2.68,"log",36.58679,-121.89892
"25","BL","2014-05-10",0,0,3.83,"wood piece",36.58694,-121.89855
"26","BL","2014-05-10",0,0,3.52,"log",36.58689,-121.89864
"27","BL","2014-05-10",0,0,4.09,"wood piece",36.58684,-121.89864
"28","BL","2014-05-10",0,0,3.17,"branch",36.58771,-121.89775
"29","BL","2014-06-07",0,0,3.44,"rotting wood",36.58765,-121.89785
"30","BL","2014-06-07",0,0,3.94,"rotting wood",36.58764,-121.8978
"31","BL","2014-06-07",0,0,3.79,"rotting wood",36.58763,-121.8977
"32","BL","2014-06-07",0,0,3.55,"rotting wood",36.5879,-121.89757
"33","BL","2014-06-07",0,0,3.21,"log",36.58786,-121.89755
"34","BL","2014-06-07",0,0,3.9,"bark",36.58787,-121.89763
"35","BL","2014-06-07",0,0,3.21,"branch",36.58793,-121.89753
"36","BL","2014-06-07",0,0,3.4,"log",36.588,-121.89747
