"","Year","neg","pos","tot"
"1",1893,12,0,12
"2",1894,10,0,10
"3",1895,5,0,5
"4",1896,1,0,1
"5",1897,28,0,28
"6",1898,6,0,6
"7",1903,1,0,1
"8",1904,4,0,4
"9",1906,1,0,1
"10",1907,8,0,8
"11",1908,8,0,8
"12",1909,5,0,5
"13",1910,11,0,11
"14",1911,45,0,45
"15",1912,11,0,11
"16",1913,20,0,20
"17",1914,1,0,1
"18",1915,3,0,3
"19",1916,1,0,1
"20",1917,4,0,4
"21",1918,13,0,13
"22",1919,1,0,1
"23",1920,3,0,3
"24",1922,3,0,3
"25",1923,10,0,10
"26",1924,3,0,3
"27",1925,1,0,1
"28",1926,15,0,15
"29",1927,7,0,7
"30",1928,12,0,12
"31",1929,7,0,7
"32",1930,3,0,3
"33",1932,10,0,10
"34",1933,7,0,7
"35",1934,34,0,34
"36",1935,9,0,9
"37",1936,5,0,5
"38",1937,58,0,58
"39",1938,16,0,16
"40",1939,30,0,30
"41",1940,41,0,41
"42",1941,23,0,23
"43",1942,20,0,20
"44",1943,25,0,25
"45",1944,22,0,22
"46",1945,10,0,10
"47",1946,22,0,22
"48",1947,17,0,17
"49",1948,12,1,13
"50",1949,16,0,16
"51",1950,14,1,15
"52",1951,28,1,29
"53",1952,52,0,52
"54",1953,62,0,62
"55",1954,10,0,10
"56",1955,20,0,20
"57",1956,18,0,18
"58",1957,23,0,23
"59",1958,6,0,6
"60",1959,26,0,26
"61",1960,11,0,11
"62",1961,28,1,29
"63",1962,51,3,54
"64",1963,12,1,13
"65",1964,17,0,17
"66",1965,11,0,11
"67",1966,5,0,5
"68",1967,17,0,17
"69",1968,17,0,17
"70",1969,17,0,17
"71",1970,40,0,40
"72",1971,35,1,36
"73",1972,13,0,13
"74",1973,19,0,19
"75",1974,13,0,13
"76",1975,12,2,14
"77",1976,9,1,10
"78",1977,21,0,21
"79",1978,11,0,11
"80",1979,2,0,2
"81",1980,12,0,12
"82",1981,20,0,20
"83",1982,26,0,26
"84",1983,18,0,18
"85",1984,20,1,21
"86",1985,12,0,12
"87",1986,12,1,13
"88",1987,36,7,43
"89",1988,25,2,27
"90",1989,25,1,26
"91",1990,39,1,40
"92",1991,36,2,38
"93",1992,54,4,58
"94",1993,6,0,6
"95",1995,9,0,9
"96",1996,11,0,11
"97",1997,11,2,13
"98",1998,24,3,27
"99",1999,23,3,26
"100",2000,23,1,24
"101",2001,21,10,31
"102",2002,5,1,6
"103",2003,53,4,57
"104",2004,5,0,5
"105",2005,5,1,6
"106",2006,3,0,3
"107",2007,1,0,1
"108",2008,5,0,5
"109",2010,8,0,8
"110",2011,3,0,3
"111",2012,6,0,6
"112",2013,4,0,4
"113",2014,6,0,6
"114",2015,9,2,11
