"","Shruti_Cod","Catalog_Nu","Species","Year","County","Institutio","SVL","Lifestage","Zswab_scor","Bioregion","Decimal_La","Decimal_Lo","Decade","Elevation","Disease_St","Coordinate","Collector","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","Built2009","crop2005","Lights2009","NavWat2009","Pastur2009","Popden2009","Railways","Roads","HFP2009","HFP2009_in","amph_rich","lakepond","swampmarsh","IceMass","Playa","streamperr","streaminte","coastline","artificial","pipeline","canalditch","connector","elev_m","ai_yr","pet_yr","aet_yr","crops_2","built_2","pasture_2","popdens_2","navwater_2","lights_2","hfp_2","rail_2","roads_2","dist.closest.wb","cat.closest.wb"
"1",446,144,"Taricha granulosa",1893,"San Mateo","CAS",55.69,"Terrestrial",0,"Central Coast",37.385278,-122.373056,1890,72.7,0,0,"",129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132,0,5,0,1.33947,7.00079,7,14,3188.18,17475,275372,154939,19.7927,2432.29,3360.5,11661.6,11783.9,16542.4,12064.8,75,6913,998,555,0,0,0,4,0.313793,0,5.0713,0,0.757507,19.7927,"streamperr"
"2",447,145,"Taricha granulosa",1893,"San Mateo","CAS",59.94,"Terrestrial",0,"Central Coast",37.385278,-122.373056,1890,72.7,0,0,"",129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132,0,5,0,1.33947,7.00079,7,14,3188.18,17475,275372,154939,19.7927,2432.29,3360.5,11661.6,11783.9,16542.4,12064.8,75,6913,998,555,0,0,0,4,0.313793,0,5.0713,0,0.757507,19.7927,"streamperr"
"3",448,148,"Taricha granulosa",1893,"San Mateo","CAS",37.4,"Terrestrial",0,"Central Coast",37.385278,-122.373056,1890,72.7,0,0,"",129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132,0,5,0,1.33947,7.00079,7,14,3188.18,17475,275372,154939,19.7927,2432.29,3360.5,11661.6,11783.9,16542.4,12064.8,75,6913,998,555,0,0,0,4,0.313793,0,5.0713,0,0.757507,19.7927,"streamperr"
"4",449,149,"Taricha granulosa",1893,"San Mateo","CAS",50.87,"Terrestrial",0,"Central Coast",37.385278,-122.373056,1890,72.7,0,0,"",129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132,0,5,0,1.33947,7.00079,7,14,3188.18,17475,275372,154939,19.7927,2432.29,3360.5,11661.6,11783.9,16542.4,12064.8,75,6913,998,555,0,0,0,4,0.313793,0,5.0713,0,0.757507,19.7927,"streamperr"
"5",459,202,"Taricha granulosa",1893,"Santa Clara","CAS",57.26,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,0,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"6",460,203,"Taricha granulosa",1893,"Santa Clara","CAS",63.67,"Aquatic",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"7",461,204,"Taricha granulosa",1893,"Santa Clara","CAS",59.56,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"8",462,205,"Taricha granulosa",1893,"Santa Clara","CAS",63,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"9",463,207,"Taricha granulosa",1893,"Santa Clara","CAS",63.28,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"10",464,208,"Taricha granulosa",1893,"Santa Clara","CAS",64.74,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"11",465,213,"Taricha granulosa",1893,"Santa Clara","CAS",55.26,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"12",466,215,"Taricha granulosa",1893,"Santa Clara","CAS",65.33,"Terrestrial",0,"Central Coast",37.365489,-122.11705,1890,81.5,0,6047,"",144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0,0,10,0,8,38,38,15,5074.3,7850.39,253411,133114,4920.76,74.4997,8336.67,6516.89,4004.18,7850.39,13210.5,83,4501,1153,441,0,10,0,10,0,10,38,0,8,74.4997,"streaminte"
"13",290,806,"Taricha granulosa",1894,"Napa","CAS",50.97,"Terrestrial",0,"Central Coast",38.578172,-122.631453,1890,345,0,2308,"G.B. Culver",140,155,52,5032,313,16,297,79,204,204,79,1091,237,2,92,604,11,20,604,0,0,3,0,0,6,0,1.33947,10.3395,10,16,658.481,48225.4,267580,137176,2293.68,721.722,44764.3,667.338,53902.1,17666.2,9957.29,345,8160,1337,630,0,0,0,6,0,0,6.68149,0,0.681485,658.481,"lakepond"
"14",437,835,"Taricha granulosa",1894,"Napa","CAS",65.87,"Aquatic",0,"Central Coast",38.578889,-122.578611,1890,108,0,0,"C.H. Gilbert",147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0,0,6,8,8,40,40,15,1756.04,45939.4,268070,135625,172.698,834.32,47988.3,4735.27,51044.3,17044.3,12908.1,108,6805,1371,621,0,10,0,6,0,8,40,8,8,172.698,"streamperr"
"15",438,836,"Taricha granulosa",1894,"Napa","CAS",75.01,"Aquatic",0,"Central Coast",38.578889,-122.578611,1890,108,0,0,"C.H. Gilbert",147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0,0,6,8,8,40,40,15,1756.04,45939.4,268070,135625,172.698,834.32,47988.3,4735.27,51044.3,17044.3,12908.1,108,6805,1371,621,0,10,0,6,0,8,40,8,8,172.698,"streamperr"
"16",439,837,"Taricha granulosa",1894,"Napa","CAS",55.77,"Aquatic",0,"Central Coast",38.578889,-122.578611,1890,108,0,0,"C.H. Gilbert",147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0,0,6,8,8,40,40,15,1756.04,45939.4,268070,135625,172.698,834.32,47988.3,4735.27,51044.3,17044.3,12908.1,108,6805,1371,621,0,10,0,6,0,8,40,8,8,172.698,"streamperr"
"17",440,838,"Taricha granulosa",1894,"Napa","CAS",59.24,"Aquatic",0,"Central Coast",38.578889,-122.578611,1890,108,0,0,"C.H. Gilbert",147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0,0,6,8,8,40,40,15,1756.04,45939.4,268070,135625,172.698,834.32,47988.3,4735.27,51044.3,17044.3,12908.1,108,6805,1371,621,0,10,0,6,0,8,40,8,8,172.698,"streamperr"
