latitude,longitude,year,status,zscore,group
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,1,13.26,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,0,0,seki
36.64613,-118.45306,2006,1,2.78,seki
36.64613,-118.45306,2006,0,0,seki
35.46703,-118.39550,2001,0,0,seki
35.62022,-118.08197,2000,1,116.8,seki
35.62022,-118.08197,2000,1,0.36,seki
35.62022,-118.08197,2000,0,0,seki
35.64556,-118.58998,1970,0,0,seki
35.64556,-118.58998,1970,0,0,seki
35.64556,-118.58998,1970,0,0,seki
35.64556,-118.58998,1970,0,0,seki
35.66792,-118.36542,2001,0,0,seki
35.67174,-118.34653,2001,1,5.924,seki
35.67174,-118.34653,2001,0,0,seki
35.67174,-118.34653,2001,0,0,seki
35.67222,-118.34206,2001,0,0,seki
35.67222,-118.34206,2001,0,0,seki
35.67222,-118.34206,2001,0,0,seki
35.67222,-118.34206,2001,0,0,seki
35.79939,-118.44967,2000,0,0,seki
35.79939,-118.44967,2000,0,0,seki
35.79939,-118.44967,2000,0,0,seki
35.79939,-118.44967,2000,0,0,seki
35.84256,-118.54586,2000,0,0,seki
35.84256,-118.54586,2000,0,0,seki
35.86202,-118.54556,1970,0,0,seki
35.86202,-118.54556,1970,0,0,seki
35.86202,-118.54556,1970,0,0,seki
35.86323,-118.62903,2001,0,0,seki
35.89086,-118.55939,2000,0,0,seki
35.90244,-118.64092,2000,0,0,seki
35.94706,-118.33983,2000,0,0,seki
35.94706,-118.33983,2000,0,0,seki
35.96461,-118.35720,2000,0,0,seki
35.96461,-118.35720,2000,0,0,seki
35.96461,-118.35720,2000,0,0,seki
35.98681,-118.33875,2000,0,0,seki
36.02047,-118.59608,2002,0,0,seki
36.02047,-118.59608,2002,0,0,seki
36.02047,-118.59608,2002,0,0,seki
36.11897,-118.56068,2000,0,0,seki
36.12042,-118.55436,2000,0,0,seki
36.13714,-118.75739,2001,0,0,seki
36.20289,-118.76044,2001,0,0,seki
36.41628,-118.92297,1998,1,5.724,seki
36.44806,-118.77203,1970,0,0,seki
36.55654,-118.74694,1955,0,0,seki
36.55654,-118.74694,1955,0,0,seki
36.55654,-118.74694,1955,0,0,seki
36.55654,-118.74694,1955,0,0,seki
36.56456,-118.74821,1940,0,0,seki
36.56786,-118.76764,1933,0,0,seki
36.56786,-118.76764,1933,0,0,seki
36.56786,-118.76764,1933,0,0,seki
36.56786,-118.76764,1933,0,0,seki
36.59155,-118.73565,1955,0,0,seki
36.59155,-118.73565,1955,0,0,seki
36.59731,-118.72521,1956,0,0,seki
36.59731,-118.72521,1956,0,0,seki
36.60103,-118.68684,1956,0,0,seki
36.63904,-118.46125,2004,1,1521.74,seki
36.63904,-118.46125,2004,1,3163.42,seki
36.63904,-118.46125,2004,1,4566.55,seki
36.63904,-118.46125,2004,1,5885.12,seki
36.63904,-118.46125,2004,1,7267.65,seki
36.63904,-118.46125,2004,1,11559.78,seki
36.63904,-118.46125,2004,1,11582.58,seki
36.63904,-118.46125,2004,1,15564.77,seki
36.63904,-118.46125,2004,1,17777.12,seki
36.63904,-118.46125,2004,1,21469.14,seki
36.63904,-118.46125,2004,1,868.03,seki
36.63904,-118.46125,2004,1,921.05,seki
36.63904,-118.46125,2004,1,1068.94,seki
36.63904,-118.46125,2004,1,62.95,seki
36.63904,-118.46125,2004,1,154.79,seki
36.63904,-118.46125,2004,1,1450.1,seki
36.63904,-118.46125,2004,1,3076.57,seki
36.63904,-118.46125,2004,1,7881.43,seki
36.63904,-118.46125,2004,1,20802.37,seki
36.63904,-118.46125,2006,1,3779.55,seki
36.63904,-118.46125,2006,1,311.23,seki
36.63904,-118.46125,2006,1,13512.64,seki
36.63999,-118.45985,2004,1,1219.4,seki
36.63999,-118.45985,2004,1,1690.51,seki
36.63999,-118.45985,2004,1,1989.39,seki
36.63999,-118.45985,2004,1,6934.28,seki
36.64193,-118.46108,2004,0,0,seki
36.64193,-118.46108,2004,1,382.6,seki
36.64193,-118.46108,2004,1,733.93,seki
36.64193,-118.46108,2004,1,1506.2,seki
36.64193,-118.46108,2004,1,1536.47,seki
36.64193,-118.46108,2004,1,1681.22,seki
36.64193,-118.46108,2004,1,2073.1,seki
36.64193,-118.46108,2004,1,2573.47,seki
36.64193,-118.46108,2004,1,2781.2,seki
36.64193,-118.46108,2004,1,3798,seki
36.64193,-118.46108,2004,1,3815.82,seki
36.64193,-118.46108,2004,1,4547.7,seki
36.64193,-118.46108,2004,1,5451.28,seki
36.64193,-118.46108,2004,1,6166.59,seki
36.64193,-118.46108,2004,1,24498.4,seki
36.64193,-118.46108,2004,1,31946.96,seki
36.64193,-118.46108,2004,1,786.67,seki
36.64193,-118.46108,2004,1,1126.97,seki
36.64193,-118.46108,2004,1,4530.32,seki
36.64193,-118.46108,2004,1,8249.76,seki
36.64193,-118.46108,2004,1,15860.13,seki
36.64193,-118.46108,2004,1,22055.22,seki
36.64193,-118.46108,2004,1,6230.82,seki
36.64193,-118.46108,2004,1,10869.12,seki
36.64193,-118.46108,2004,0,0,seki
36.64193,-118.46108,2004,1,0.12,seki
36.64193,-118.46108,2004,1,0.25,seki
36.64193,-118.46108,2004,1,2.18,seki
36.64193,-118.46108,2004,1,6.35,seki
36.64193,-118.46108,2004,1,23.23,seki
36.64193,-118.46108,2004,1,63.66,seki
