Continent.Region,Country,LocationDescription,Latitude,Longitude,Elevation.m.,DateCollected,Month,Day,Year,Decade,MuseumOrField,SampleID,FieldID,Order,Family,Genus,Species,Subspecies,SpeciesName,Lifestage,BdStatus,GEScore,ZEScore,BdMethodology,SwabCollector,PreviouslyReported,Comments,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
NorthAmerica,United States,"California_Kern County_Sand Canyon, 3.1 mi W Hwy. 14, 20 mi S junction of Brown Rd. and Hwy. 14",35.10909,-118.31852,1220,1978,NA,NA,1978,1970s,Museum,MVZ172776,MVZ172776,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,1,0.000154,0.01232,qPCR (Vredenburg Lab),Sam McNally,NA,1 of 2 qPCR's 1_Coordinate error (m) 1207.008_Datum _not recorded_,142,143,42,6824,329,-4,333,72,207,234,63,249,44,2,75,125,12,12,120
NorthAmerica,United States,"California_Kern County_Sand Canyon, 3.1 mi W Hwy. 14, 20 mi S junction of Brown Rd. and Hwy. 14",35.10909,-118.31852,1220,1978,NA,NA,1978,1970s,Museum,MVZ172777,MVZ172777,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,1,NA,11.976,qPCR (Vredenburg Lab),Sam McNally,NA,took average of 2 1 qPCR's_ZEs 16.08_32.96_Coordinate error (m) 1207.008_Datum _not recorded_,142,143,42,6824,329,-4,333,72,207,234,63,249,44,2,75,125,12,12,120
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96883,MVZ96883,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96884,MVZ96884,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96885,MVZ96885,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96886,MVZ96886,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96888,MVZ96888,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,"California_Kern County_Keene Fire Substation, Keene, Hwy. 58",35.2225225,-118.56087,803.8,1961,NA,NA,1970,1970s,Museum,MVZ96889,MVZ96889,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 160.9344_Datum _not recorded_Estimated elevation using GPS Visualizer,146,143,43,6662,331,3,328,78,235,235,68,320,56,2,78,163,10,10,153
NorthAmerica,United States,California_Kern County_3 mi W Paris-Loraine,35.3064043,-118.4895032,756.9,1961,NA,NA,1967,1960s,Museum,MVZ81766,MVZ81766,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 6517.8432_Datum _not recorded_Estimated elevation using GPS Visualizer,133,140,43,6519,315,-6,321,65,220,220,57,320,55,2,78,160,12,12,154
NorthAmerica,United States,California_Kern County_8.9 mi WSW of Kelso Valley Rd. on Piute Mt. Rd.,35.4457221,-118.3110784,1913,1983,NA,NA,1986,1980s,Museum,MVZ227481,MVZ227481,Anura,Hylidae,Pseudacris,regilla,NA,Pseudacris regilla,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,_Coordinate error (m) 3580.7904_Datum _not recorded_Estimated elevation using GPS Visualizer,115,137,43,6422,296,-19,315,48,201,201,42,396,69,4,75,197,18,18,193
