Continent.Region,Country,LocationDescription,Latitude,Longitude,Elevation.m.,DateCollected,Month,Day,Year,Decade,MuseumOrField,SampleID,FieldID,Order,Family,Genus,Species,Subspecies,SpeciesName,Lifestage,BdStatus,GEScore,ZEScore,BdMethodology,SwabCollector,PreviouslyReported,Comments,,,,,,
NorthAmerica,United States,California_Madera County_W of Yosemite Forks along Hwy. 620,37.38552,-119.67957,969.3,1994,,,2003,2000s,Museum,MVZ243327,MVZ243327,Anura,Ranidae,Rana,catesbeiana,,Rana catesbeiana,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 31.569_Datum _MaNIS georeferencing guidelines_Used 30m default uncertainty.Estimated elevation using GPS Visualizer,,,,,,
NorthAmerica,United States,"California_Mariposa County_1 mi N Peregoy Meadow, Yosemite National Park",37.65247,-119.63257,2152,1943,6,22,1915,1910s,Museum,MVZ5782,MVZ5782,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 1720.388736_Datum __,,,,,,
NorthAmerica,United States,"California_Mariposa County_1 mi N Peregoy Meadow, Yosemite National Park",37.65247,-119.63257,2152,1943,6,22,1915,1910s,Museum,MVZ5788,MVZ5788,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 1720.388736_Datum __,,,,,,
NorthAmerica,United States,"California_Mariposa County_Yosemite National Park, Pleasant Valley",37.65638,-120.29042,213,1999,,,1915,1910s,Museum,MVZ5779,MVZ5779,Anura,Ranidae,Rana,boylii,,Rana boylii,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 7678.180224_Datum __,,,,,,
NorthAmerica,United States,"California_Mariposa County_Yosemite National Park, Pleasant Valley",37.65638,-120.29042,213,1952,,,1915,1910s,Museum,MVZ5780,MVZ5780,Anura,Ranidae,Rana,boylii,,Rana boylii,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 7678.180224_Datum __,,,,,,
NorthAmerica,United States,"California_Mariposa County_Creek below Monroe Meadow, Badger Pass Ski Area, Yosemite National Park",37.66285,-119.66467,2195.1,2003,,,2003,2000s,Museum,SM241,MVZ240826,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 8_Datum _MaNIS georeferencing guidelines_Estimated elevation using GPS Visualizer,,,,,,
NorthAmerica,United States,"California_Mariposa County_Creek below Monroe Meadow, Badger Pass Ski Area, Yosemite National Park",37.66285,-119.66467,2195.1,2003,,,2003,2000s,Museum,SM242,MVZ240827,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 8_Datum _MaNIS georeferencing guidelines_Estimated elevation using GPS Visualizer,,,,,,
NorthAmerica,United States,"California_Mariposa County_0.5 km S of Ostrander Meadow Trail head, S of Glacier Point Rd., Yosemite National Park",37.66312,-119.60102,2134.2,1983,,,2003,2000s,Museum,MVZ240751,MVZ240751,Anura,Hylidae,Pseudacris,regilla,,Pseudacris regilla,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 7_Datum _MaNIS georeferencing guidelines_Estimated elevation using GPS Visualizer,,,,,,
NorthAmerica,United States,"California_Mariposa County_Mono Meadow, Yosemite National Park",37.6749,-119.5746,2134,2000,,,1946,1940s,Museum,SM228,MVZ42845,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 914.7048_Datum _not recorded_Error based on size of meadow.,,,,,,
NorthAmerica,United States,"California_Mariposa County_3 mi ENE Chinquapin, Yosemite National Park",37.692411,-119.681902,2149,1990,,,1955,1950s,Museum,SM230,MVZ62893,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 2414.016_Datum _not recorded_,,,,,,
NorthAmerica,United States,"California_Mariposa County_3 mi ENE Chinquapin, Yosemite National Park",37.692411,-119.681902,2149,1991,,,1955,1950s,Museum,SM233,MVZ62888,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 2414.016_Datum _not recorded_,,,,,,
NorthAmerica,United States,"California_Mariposa County_3 mi ENE Chinquapin, Yosemite National Park",37.692411,-119.681902,2149,1992,,,1955,1950s,Museum,SM235,MVZ63956,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 2414.016_Datum _not recorded_,,,,,,
NorthAmerica,United States,"California_Mariposa County_3 mi ENE Chinquapin, Yosemite National Park",37.692411,-119.681902,2149,1996,,,1955,1950s,Museum,MVZ63957,MVZ63957,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 2414.016_Datum _not recorded_,,,,,,
NorthAmerica,United States,"California_Mariposa County_Lake N Mt. Clark, Yosemite National Park",37.701277,-119.42995,2896,1953,7,4,1922,1920s,Museum,MVZ8570,MVZ8570,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 804.672_Datum __,,,,,,
NorthAmerica,United States,"California_Mariposa County_ca. 3 mi SW Glacier Peak, at Scenic Marleer, Yosemite National Park",37.704449,-119.586763,2500,1973,,,1968,1960s,Museum,SM236,MVZ83676,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 804.672_Datum _not recorded_Error based on starting point area.,,,,,,
NorthAmerica,United States,"California_Mariposa County_Pothole Meadows, Yosemite National Park",37.705312,-119.58927,2363,1958,,,1954,1950s,Museum,SM239,MVZ60904,Anura,Ranidae,Rana,sierrae,,Rana sierrae,,Negative,,0,qPCR (Vredenburg Lab),Sam McNally,,_Coordinate error (m) 402.336_Datum _not recorded_,,,,,,
NorthAmerica,United States,"California_Mariposa County_El Capitan Meadow, Yosemite Valley, Yosemite National Park",37.72424,-119.63531,1206.3,2005,,,2005,2000s,Museum,MVZ249951,MVZ249951,Anura,Hylidae,Pseudacris,regilla,,Pseudacris regilla,,Positive,,944.8,qPCR (Vredenburg Lab),Sam McNally,,took average of 2 positive qPCR's_ZE's 1089.6_800_Coordinate error (m) _Datum _not recorded_No GPS accuracy givenEstimated elevation using GPS Visualizer,,,,,,
