"","X.1","X","lake.id","year","Bd.Status","Zscore","longitude","latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","HFP2009","croplands2005","Built2009","NavWater2009","Popdensity2010","Roads","Railways","Pasture2009"
"1",1,1,10206,2005,1,21.43608,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"2",2,2,10206,2005,1,31.05848,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"3",3,3,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"4",4,4,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"5",5,5,10206,2005,1,59.95272,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"6",6,6,10206,2005,1,1.439816,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"7",7,7,10206,2005,1,6.995504,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"8",8,8,10206,2005,1,29.086,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"9",9,9,10206,2005,1,12.2032,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"10",10,10,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"11",11,11,10206,2005,1,34.73936,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"12",12,12,10206,2005,1,51.56,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"13",13,13,10206,2005,1,18.84536,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"14",14,14,10206,2005,1,86.96,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"15",15,15,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"16",16,16,10206,2005,1,2.570512,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"17",17,17,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"18",18,18,10206,2005,1,27.58216,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"19",19,19,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"20",20,20,10206,2005,1,28.46536,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"21",21,21,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"22",22,22,10206,2005,1,36.09088,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"23",23,23,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"24",24,24,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"25",25,25,10206,2005,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"26",26,26,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"27",27,27,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"28",28,28,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"29",29,29,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"30",30,30,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
"31",31,31,10206,2006,0,0,-118.542739283411,37.0691870241098,8,114,42,5453,164,-107,271,-46,53,83,-51,660,110,16,59,293,62,76,286,1,0,0,0,1,0,0,0
