"","year","0","1","prevalence","group"
"1",1915,57,0,0,"seki"
"2",1916,1,0,0,"seki"
"3",1922,1,0,0,"seki"
"4",1933,4,0,0,"seki"
"5",1939,22,0,0,"seki"
"6",1940,1,0,0,"seki"
"7",1946,2,0,0,"seki"
"8",1948,1,0,0,"seki"
"9",1953,1,0,0,"seki"
"10",1954,4,0,0,"seki"
"11",1955,16,0,0,"seki"
"12",1956,4,0,0,"seki"
"13",1962,24,0,0,"seki"
"14",1964,2,0,0,"seki"
"15",1968,1,0,0,"seki"
"16",1970,9,0,0,"seki"
"17",1972,2,6,0.75,"seki"
"18",1974,12,3,0.2,"seki"
"19",1975,0,3,1,"seki"
"20",1982,12,0,0,"seki"
"21",1997,1,0,0,"seki"
"22",1998,0,1,1,"seki"
"23",1999,1,0,0,"seki"
"24",2000,17,2,0.105263157894737,"seki"
"25",2001,11,1,0.0833333333333333,"seki"
"26",2002,9,3,0.25,"seki"
"27",2003,7,2,0.222222222222222,"seki"
"28",2004,258,350,0.575657894736842,"seki"
"29",2005,1188,760,0.390143737166324,"seki"
"30",2006,433,476,0.523652365236524,"seki"
